Numero_NF|Data_NF|Cliente|CNPJ_CPF|Endereco|Cidade|Estado|Item|Descricao|Qtd|Valor_Unitario
8|1997-05-01|Rezende Costa e Filhos|31.879.625/0001-07|Estação de Teixeira, 3|da Costa|PR|4|streamline customized deliverables|9|87.66
9|1980-05-12|Nascimento Monteiro - ME|37.048.562/0001-15|Feira de da Rocha, 53|Rocha|PA|1|scale global e-services|9|66.0
9|1980-05-12|Nascimento Monteiro - ME|37.048.562/0001-15|Feira de da Rocha, 53|Rocha|PA|2|mesh turn-key functionalities|10|71.31
9|1980-05-12|Nascimento Monteiro - ME|37.048.562/0001-15|Feira de da Rocha, 53|Rocha|PA|3|monetize cross-platform models|1|31.62
9|1980-05-12|Nascimento Monteiro - ME|37.048.562/0001-15|Feira de da Rocha, 53|Rocha|PA|4|implement compelling technologies|8|38.99
10|2014-11-05|Araújo Duarte Ltda.|63.507.291/0001-29|Lagoa Isaac Sales, 8|Vieira|GO|1|revolutionize 24/365 technologies|3|22.55
10|2014-11-05|Araújo Duarte Ltda.|63.507.291/0001-29|Lagoa Isaac Sales, 8|Vieira|GO|2|envisioneer synergistic partnerships|10|44.1
10|2014-11-05|Araújo Duarte Ltda.|63.507.291/0001-29|Lagoa Isaac Sales, 8|Vieira|GO|3|facilitate bleeding-edge e-tailers|1|77.79
11|1991-04-24|Barbosa Rezende - EI|97.836.452/0001-40|Núcleo de Gomes, 1|Barbosa|SC|1|drive front-end functionalities|1|64.96
11|1991-04-24|Barbosa Rezende - EI|97.836.452/0001-40|Núcleo de Gomes, 1|Barbosa|SC|2|utilize bleeding-edge users|7|59.5
12|2021-02-12|Correia|62.578.091/0001-02|Chácara Bruna Cunha|Pereira|PI|1|benchmark out-of-the-box models|5|30.59
12|2021-02-12|Correia|62.578.091/0001-02|Chácara Bruna Cunha|Pereira|PI|2|envisioneer 24/7 mindshare|10|84.62
13|1979-06-05|Jesus|79.103.265/0001-75|Parque de Caldeira, 98|da Conceição da Prata|RN|1|innovate visionary info-mediaries|6|33.76
13|1979-06-05|Jesus|79.103.265/0001-75|Parque de Caldeira, 98|da Conceição da Prata|RN|2|revolutionize wireless methodologies|2|49.87
13|1979-06-05|Jesus|79.103.265/0001-75|Parque de Caldeira, 98|da Conceição da Prata|RN|3|benchmark collaborative e-markets|2|42.09
13|1979-06-05|Jesus|79.103.265/0001-75|Parque de Caldeira, 98|da Conceição da Prata|RN|4|orchestrate back-end solutions|4|59.47
14|1997-02-09|Rezende e Filhos|42.395.610/0001-81|Largo de Campos, 85|Duarte da Praia|RO|1|mesh cross-media mindshare|2|97.4
14|1997-02-09|Rezende e Filhos|42.395.610/0001-81|Largo de Campos, 85|Duarte da Praia|RO|2|syndicate innovative methodologies|4|72.46
15|1981-03-07|da Cunha e Filhos|93.467.120/0001-84|Praça Porto, 78|Moraes do Sul|PE|1|maximize front-end synergies|2|38.55
16|1974-10-28|Campos|23.916.457/0001-46|Jardim de Campos, 18|Freitas de Araújo|GO|1|matrix global infrastructures|3|70.87
16|1974-10-28|Campos|23.916.457/0001-46|Jardim de Campos, 18|Freitas de Araújo|GO|2|disintermediate integrated architectures|9|79.56
16|1974-10-28|Campos|23.916.457/0001-46|Jardim de Campos, 18|Freitas de Araújo|GO|3|visualize next-generation experiences|7|92.32
16|1974-10-28|Campos|23.916.457/0001-46|Jardim de Campos, 18|Freitas de Araújo|GO|4|productize open-source synergies|6|58.87
16|1974-10-28|Campos|23.916.457/0001-46|Jardim de Campos, 18|Freitas de Araújo|GO|5|brand 24/7 web-readiness|8|62.93
17|1987-09-16|Dias Almeida S/A|74.162.583/0001-93|Quadra da Mata, 853|da Costa Paulista|RR|1|maximize B2C e-business|1|61.25
17|1987-09-16|Dias Almeida S/A|74.162.583/0001-93|Quadra da Mata, 853|da Costa Paulista|RR|2|target robust e-services|6|39.58
17|1987-09-16|Dias Almeida S/A|74.162.583/0001-93|Quadra da Mata, 853|da Costa Paulista|RR|3|generate plug-and-play initiatives|5|46.09
18|2009-11-09|Oliveira Ltda.|92.610.873/0001-34|Praça de Fernandes, 49|Teixeira de Moraes|DF|1|re-intermediate 24/7 content|2|19.59
18|2009-11-09|Oliveira Ltda.|92.610.873/0001-34|Praça de Fernandes, 49|Teixeira de Moraes|DF|2|syndicate robust metrics|3|59.62
18|2009-11-09|Oliveira Ltda.|92.610.873/0001-34|Praça de Fernandes, 49|Teixeira de Moraes|DF|3|utilize clicks-and-mortar convergence|5|33.86
18|2009-11-09|Oliveira Ltda.|92.610.873/0001-34|Praça de Fernandes, 49|Teixeira de Moraes|DF|4|transform innovative schemas|4|61.98
19|1980-11-17|Pinto Fogaça e Filhos|20.963.571/0001-39|Vereda Peixoto, 52|Costa de Peixoto|MS|1|innovate intuitive niches|6|21.14
19|1980-11-17|Pinto Fogaça e Filhos|20.963.571/0001-39|Vereda Peixoto, 52|Costa de Peixoto|MS|2|architect best-of-breed applications|7|95.57
19|1980-11-17|Pinto Fogaça e Filhos|20.963.571/0001-39|Vereda Peixoto, 52|Costa de Peixoto|MS|3|mesh cutting-edge systems|9|95.26
19|1980-11-17|Pinto Fogaça e Filhos|20.963.571/0001-39|Vereda Peixoto, 52|Costa de Peixoto|MS|4|productize bleeding-edge networks|5|70.7
19|1980-11-17|Pinto Fogaça e Filhos|20.963.571/0001-39|Vereda Peixoto, 52|Costa de Peixoto|MS|5|enhance bleeding-edge systems|3|67.9
20|2017-05-24|Castro|02.174.639/0001-19|Favela de da Paz, 824|Costa|PR|1|iterate enterprise relationships|8|68.4
20|2017-05-24|Castro|02.174.639/0001-19|Favela de da Paz, 824|Costa|PR|2|maximize next-generation portals|6|29.52
20|2017-05-24|Castro|02.174.639/0001-19|Favela de da Paz, 824|Costa|PR|3|leverage back-end architectures|5|87.09
20|2017-05-24|Castro|02.174.639/0001-19|Favela de da Paz, 824|Costa|PR|4|maximize robust e-business|5|77.81
20|2017-05-24|Castro|02.174.639/0001-19|Favela de da Paz, 824|Costa|PR|5|incubate magnetic content|8|89.41
21|1979-04-21|Martins Nascimento e Filhos|07.916.583/0001-44|Ladeira Vieira, 37|Correia de Fogaça|SC|1|re-contextualize synergistic niches|10|99.2
21|1979-04-21|Martins Nascimento e Filhos|07.916.583/0001-44|Ladeira Vieira, 37|Correia de Fogaça|SC|2|redefine turn-key bandwidth|5|99.68
21|1979-04-21|Martins Nascimento e Filhos|07.916.583/0001-44|Ladeira Vieira, 37|Correia de Fogaça|SC|3|monetize world-class e-business|10|77.55
21|1979-04-21|Martins Nascimento e Filhos|07.916.583/0001-44|Ladeira Vieira, 37|Correia de Fogaça|SC|4|generate dynamic e-services|5|10.88
22|1999-03-28|Moraes Dias Ltda.|49.378.125/0001-49|Viaduto Melo|Carvalho da Prata|AM|1|visualize clicks-and-mortar vortals|7|70.55
22|1999-03-28|Moraes Dias Ltda.|49.378.125/0001-49|Viaduto Melo|Carvalho da Prata|AM|2|expedite sticky deliverables|5|44.34
23|1982-01-07|da Luz|81.690.327/0001-34|Estrada de Farias, 6|Cunha de Pinto|SE|1|e-enable killer methodologies|3|25.16
24|2013-02-11|Novaes da Rocha S.A.|38.076.951/0001-17|Morro Sophie Melo, 46|Santos|MT|1|repurpose strategic convergence|4|67.52
24|2013-02-11|Novaes da Rocha S.A.|38.076.951/0001-17|Morro Sophie Melo, 46|Santos|MT|2|embrace robust ROI|4|41.79
24|2013-02-11|Novaes da Rocha S.A.|38.076.951/0001-17|Morro Sophie Melo, 46|Santos|MT|3|optimize mission-critical initiatives|3|98.41
24|2013-02-11|Novaes da Rocha S.A.|38.076.951/0001-17|Morro Sophie Melo, 46|Santos|MT|4|visualize collaborative eyeballs|3|78.4
25|1975-05-21|Souza - EI|25.674.308/0001-43|Parque Rocha, 7|Duarte do Amparo|SE|1|matrix killer content|9|89.09
25|1975-05-21|Souza - EI|25.674.308/0001-43|Parque Rocha, 7|Duarte do Amparo|SE|2|brand one-to-one relationships|7|94.29
25|1975-05-21|Souza - EI|25.674.308/0001-43|Parque Rocha, 7|Duarte do Amparo|SE|3|re-intermediate collaborative portals|7|20.71
25|1975-05-21|Souza - EI|25.674.308/0001-43|Parque Rocha, 7|Duarte do Amparo|SE|4|leverage scalable content|8|92.79
25|1975-05-21|Souza - EI|25.674.308/0001-43|Parque Rocha, 7|Duarte do Amparo|SE|5|expedite ubiquitous ROI|10|68.11
26|1980-11-30|Teixeira Silva Ltda.|89.145.762/0001-90|Passarela Rocha, 290|da Cunha da Mata|TO|1|aggregate cross-media markets|6|32.66
27|1974-01-03|Moraes|24.709.153/0001-70|Vale Martins, 59|Nunes|RO|1|repurpose end-to-end portals|4|62.14
27|1974-01-03|Moraes|24.709.153/0001-70|Vale Martins, 59|Nunes|RO|2|architect virtual niches|10|73.49
27|1974-01-03|Moraes|24.709.153/0001-70|Vale Martins, 59|Nunes|RO|3|seize distributed networks|4|47.76
27|1974-01-03|Moraes|24.709.153/0001-70|Vale Martins, 59|Nunes|RO|4|transition killer action-items|5|75.22
28|1999-04-02|Almeida e Filhos|13.542.698/0001-19|Campo Mendes, 980|Martins da Serra|PE|1|leverage B2C schemas|6|16.09
28|1999-04-02|Almeida e Filhos|13.542.698/0001-19|Campo Mendes, 980|Martins da Serra|PE|2|extend cross-platform schemas|1|74.1
28|1999-04-02|Almeida e Filhos|13.542.698/0001-19|Campo Mendes, 980|Martins da Serra|PE|3|seize holistic partnerships|10|13.52
28|1999-04-02|Almeida e Filhos|13.542.698/0001-19|Campo Mendes, 980|Martins da Serra|PE|4|enable clicks-and-mortar technologies|10|11.23
29|2001-01-30|das Neves - ME|97.431.860/0001-11|Feira Pinto, 50|Cardoso de Minas|CE|1|revolutionize compelling relationships|6|60.02
30|2008-07-30|Costa Fogaça - ME|93.164.275/0001-41|Feira Luiz Miguel Moura|Araújo de Lima|GO|1|leverage vertical action-items|5|82.98
31|1985-07-22|Santos|17.506.342/0001-80|Estação Marina Vieira, 10|Mendes do Galho|GO|1|drive enterprise users|5|55.16
31|1985-07-22|Santos|17.506.342/0001-80|Estação Marina Vieira, 10|Mendes do Galho|GO|2|e-enable frictionless metrics|2|71.86
31|1985-07-22|Santos|17.506.342/0001-80|Estação Marina Vieira, 10|Mendes do Galho|GO|3|mesh user-centric platforms|7|23.33
31|1985-07-22|Santos|17.506.342/0001-80|Estação Marina Vieira, 10|Mendes do Galho|GO|4|monetize ubiquitous architectures|10|90.72
32|1996-02-12|Vieira Ltda.|36.287.490/0001-04|Parque de Fernandes, 90|Silva de Porto|RJ|1|re-contextualize visionary e-tailers|4|80.29
32|1996-02-12|Vieira Ltda.|36.287.490/0001-04|Parque de Fernandes, 90|Silva de Porto|RJ|2|integrate robust functionalities|9|71.34
32|1996-02-12|Vieira Ltda.|36.287.490/0001-04|Parque de Fernandes, 90|Silva de Porto|RJ|3|maximize bricks-and-clicks communities|4|47.12
33|2002-06-24|Ribeiro|85.392.741/0001-18|Rua Dias|Correia|RS|1|benchmark cross-media platforms|2|78.72
33|2002-06-24|Ribeiro|85.392.741/0001-18|Rua Dias|Correia|RS|2|aggregate compelling synergies|3|19.98
33|2002-06-24|Ribeiro|85.392.741/0001-18|Rua Dias|Correia|RS|3|transform front-end deliverables|3|11.55
33|2002-06-24|Ribeiro|85.392.741/0001-18|Rua Dias|Correia|RS|4|scale collaborative models|2|64.21
33|2002-06-24|Ribeiro|85.392.741/0001-18|Rua Dias|Correia|RS|5|re-intermediate web-enabled channels|2|14.33
34|1987-08-22|Ferreira|39.580.146/0001-99|Parque de Aragão, 75|Cunha do Amparo|AC|1|benchmark scalable bandwidth|3|44.74
34|1987-08-22|Ferreira|39.580.146/0001-99|Parque de Aragão, 75|Cunha do Amparo|AC|2|incentivize e-business content|7|87.84
34|1987-08-22|Ferreira|39.580.146/0001-99|Parque de Aragão, 75|Cunha do Amparo|AC|3|architect collaborative paradigms|2|28.02
34|1987-08-22|Ferreira|39.580.146/0001-99|Parque de Aragão, 75|Cunha do Amparo|AC|4|integrate transparent eyeballs|10|33.17
35|2016-03-18|da Rosa|52.871.394/0001-57|Vila de Moraes, 9|Rodrigues de Farias|ES|1|innovate magnetic experiences|1|10.21
35|2016-03-18|da Rosa|52.871.394/0001-57|Vila de Moraes, 9|Rodrigues de Farias|ES|2|e-enable back-end e-services|8|51.82
36|1995-09-28|Rodrigues|80.543.729/0001-43|Passarela de das Neves, 43|Moreira|RJ|1|orchestrate turn-key paradigms|5|49.76
36|1995-09-28|Rodrigues|80.543.729/0001-43|Passarela de das Neves, 43|Moreira|RJ|2|enhance global channels|7|65.0
36|1995-09-28|Rodrigues|80.543.729/0001-43|Passarela de das Neves, 43|Moreira|RJ|3|transition enterprise functionalities|1|38.34
36|1995-09-28|Rodrigues|80.543.729/0001-43|Passarela de das Neves, 43|Moreira|RJ|4|innovate web-enabled ROI|8|84.98
37|2003-08-13|Pereira Ltda.|10.475.236/0001-38|Residencial Cunha, 6|Cunha|AM|1|evolve interactive e-markets|8|38.83
37|2003-08-13|Pereira Ltda.|10.475.236/0001-38|Residencial Cunha, 6|Cunha|AM|2|innovate extensible e-business|6|42.14
37|2003-08-13|Pereira Ltda.|10.475.236/0001-38|Residencial Cunha, 6|Cunha|AM|3|visualize robust users|5|98.09
37|2003-08-13|Pereira Ltda.|10.475.236/0001-38|Residencial Cunha, 6|Cunha|AM|4|reinvent global e-markets|7|66.79
38|1991-02-09|Pereira|52.196.470/0001-76|Avenida Thales Castro, 26|Viana do Amparo|SP|1|transition collaborative platforms|2|71.42
38|1991-02-09|Pereira|52.196.470/0001-76|Avenida Thales Castro, 26|Viana do Amparo|SP|2|brand viral relationships|10|21.54
38|1991-02-09|Pereira|52.196.470/0001-76|Avenida Thales Castro, 26|Viana do Amparo|SP|3|e-enable wireless relationships|10|81.82
39|1993-07-15|Ferreira|76.213.508/0001-30|Estação Ramos, 37|Moraes de Sales|MS|1|scale customized convergence|2|32.43
40|2006-07-18|Barros|84.157.069/0001-13|Vila de Azevedo, 130|Viana|PE|1|unleash leading-edge methodologies|8|49.99
40|2006-07-18|Barros|84.157.069/0001-13|Vila de Azevedo, 130|Viana|PE|2|expedite cross-media models|9|17.47
41|2021-11-10|Dias S/A|91.257.608/0001-51|Estação Cauã Azevedo, 47|Monteiro Verde|SC|1|brand enterprise content|10|18.9
41|2021-11-10|Dias S/A|91.257.608/0001-51|Estação Cauã Azevedo, 47|Monteiro Verde|SC|2|innovate best-of-breed architectures|9|41.18
41|2021-11-10|Dias S/A|91.257.608/0001-51|Estação Cauã Azevedo, 47|Monteiro Verde|SC|3|e-enable interactive e-business|9|29.22
41|2021-11-10|Dias S/A|91.257.608/0001-51|Estação Cauã Azevedo, 47|Monteiro Verde|SC|4|scale world-class users|9|77.47
41|2021-11-10|Dias S/A|91.257.608/0001-51|Estação Cauã Azevedo, 47|Monteiro Verde|SC|5|grow world-class web services|10|98.05
42|1980-08-11|Dias|57.203.894/0001-34|Trevo Agatha da Costa|Moraes|DF|1|streamline B2C supply-chains|5|38.94
42|1980-08-11|Dias|57.203.894/0001-34|Trevo Agatha da Costa|Moraes|DF|2|expedite dot-com synergies|5|49.74
42|1980-08-11|Dias|57.203.894/0001-34|Trevo Agatha da Costa|Moraes|DF|3|repurpose granular paradigms|1|67.23
43|1993-06-26|Martins Costela Ltda.|14.907.256/0001-91|Rua Melo, 98|Gomes|MS|1|strategize sticky solutions|9|34.91
44|2010-12-29|Vieira Nascimento Ltda.|40.285.397/0001-20|Vale Freitas, 27|da Mata|PE|1|generate vertical models|5|42.93
45|1973-04-06|Azevedo S/A|80.651.972/0001-85|Estrada de Monteiro, 48|da Mota|AC|1|grow innovative deliverables|9|58.68
45|1973-04-06|Azevedo S/A|80.651.972/0001-85|Estrada de Monteiro, 48|da Mota|AC|2|monetize cross-media web services|5|15.38
45|1973-04-06|Azevedo S/A|80.651.972/0001-85|Estrada de Monteiro, 48|da Mota|AC|3|engineer 24/365 synergies|5|44.85
45|1973-04-06|Azevedo S/A|80.651.972/0001-85|Estrada de Monteiro, 48|da Mota|AC|4|expedite B2C e-services|6|75.54
46|2021-12-27|Rodrigues Farias - ME|13.605.274/0001-56|Feira de Barbosa, 54|Cardoso|MG|1|drive collaborative web services|8|44.93
47|2020-04-23|Costela - ME|89.341.760/0001-76|Fazenda Aragão|Nogueira das Pedras|SP|1|strategize bleeding-edge synergies|8|93.65
48|2022-05-25|da Costa Moreira S/A|74.528.691/0001-37|Condomínio de Martins, 135|Peixoto|AC|1|matrix holistic metrics|8|97.36
48|2022-05-25|da Costa Moreira S/A|74.528.691/0001-37|Condomínio de Martins, 135|Peixoto|AC|2|architect 24/7 e-commerce|4|48.85
49|1989-08-05|Moraes|90.872.536/0001-90|Lago Luana Correia, 37|Barbosa|SE|1|incentivize ubiquitous experiences|9|91.9
49|1989-08-05|Moraes|90.872.536/0001-90|Lago Luana Correia, 37|Barbosa|SE|2|scale turn-key metrics|2|85.89
49|1989-08-05|Moraes|90.872.536/0001-90|Lago Luana Correia, 37|Barbosa|SE|3|matrix collaborative architectures|8|17.94
50|1998-08-19|da Conceição|58.036.972/0001-16|Travessa Kaique Cavalcanti, 94|Dias|BA|1|strategize out-of-the-box networks|8|84.75
50|1998-08-19|da Conceição|58.036.972/0001-16|Travessa Kaique Cavalcanti, 94|Dias|BA|2|incubate viral e-services|2|83.43
50|1998-08-19|da Conceição|58.036.972/0001-16|Travessa Kaique Cavalcanti, 94|Dias|BA|3|re-intermediate compelling portals|3|24.32
50|1998-08-19|da Conceição|58.036.972/0001-16|Travessa Kaique Cavalcanti, 94|Dias|BA|4|envisioneer revolutionary infrastructures|6|71.04
50|1998-08-19|da Conceição|58.036.972/0001-16|Travessa Kaique Cavalcanti, 94|Dias|BA|5|e-enable web-enabled users|8|84.36
51|1994-10-09|Moreira|45.732.689/0001-87|Estrada Ribeiro, 972|Caldeira da Prata|CE|1|benchmark sticky communities|5|53.98
51|1994-10-09|Moreira|45.732.689/0001-87|Estrada Ribeiro, 972|Caldeira da Prata|CE|2|repurpose enterprise initiatives|1|13.0
51|1994-10-09|Moreira|45.732.689/0001-87|Estrada Ribeiro, 972|Caldeira da Prata|CE|3|synergize enterprise technologies|9|98.63
51|1994-10-09|Moreira|45.732.689/0001-87|Estrada Ribeiro, 972|Caldeira da Prata|CE|4|harness clicks-and-mortar applications|7|82.31
51|1994-10-09|Moreira|45.732.689/0001-87|Estrada Ribeiro, 972|Caldeira da Prata|CE|5|reinvent ubiquitous e-commerce|6|98.12
52|2000-12-06|Oliveira Ramos - EI|51.064.392/0001-93|Morro Lima, 7|Araújo da Mata|MG|1|deploy e-business bandwidth|7|69.92
53|2015-05-10|da Cunha|93.285.760/0001-73|Quadra de Almeida, 44|da Mota|PR|1|redefine vertical communities|5|44.31
53|2015-05-10|da Cunha|93.285.760/0001-73|Quadra de Almeida, 44|da Mota|PR|2|engage plug-and-play niches|9|33.65
53|2015-05-10|da Cunha|93.285.760/0001-73|Quadra de Almeida, 44|da Mota|PR|3|orchestrate next-generation synergies|1|71.81
54|1973-05-24|Oliveira Lima - EI|09.756.183/0001-44|Estrada de Barbosa|Ribeiro da Serra|BA|1|scale magnetic schemas|8|25.55
54|1973-05-24|Oliveira Lima - EI|09.756.183/0001-44|Estrada de Barbosa|Ribeiro da Serra|BA|2|redefine transparent methodologies|4|75.54
54|1973-05-24|Oliveira Lima - EI|09.756.183/0001-44|Estrada de Barbosa|Ribeiro da Serra|BA|3|grow open-source methodologies|6|34.5
54|1973-05-24|Oliveira Lima - EI|09.756.183/0001-44|Estrada de Barbosa|Ribeiro da Serra|BA|4|embrace dot-com users|7|73.8
54|1973-05-24|Oliveira Lima - EI|09.756.183/0001-44|Estrada de Barbosa|Ribeiro da Serra|BA|5|whiteboard seamless solutions|1|56.32
55|2010-03-14|Azevedo|65.723.180/0001-85|Vereda Maria Sophia Almeida, 55|Martins da Praia|AM|1|aggregate vertical synergies|4|84.9
55|2010-03-14|Azevedo|65.723.180/0001-85|Vereda Maria Sophia Almeida, 55|Martins da Praia|AM|2|harness open-source convergence|1|43.4
55|2010-03-14|Azevedo|65.723.180/0001-85|Vereda Maria Sophia Almeida, 55|Martins da Praia|AM|3|aggregate front-end users|7|95.45
56|2021-09-06|Almeida Mendes - EI|24.160.378/0001-10|Jardim Caio Almeida, 460|da Rocha do Galho|AM|1|monetize robust e-markets|5|65.47
56|2021-09-06|Almeida Mendes - EI|24.160.378/0001-10|Jardim Caio Almeida, 460|da Rocha do Galho|AM|2|empower web-enabled models|10|51.17
56|2021-09-06|Almeida Mendes - EI|24.160.378/0001-10|Jardim Caio Almeida, 460|da Rocha do Galho|AM|3|empower dot-com web services|3|36.96
57|2006-08-18|Viana S/A|47.260.813/0001-84|Alameda Maria Julia Fogaça, 541|da Cruz|RJ|1|envisioneer innovative web services|5|68.83
58|2011-10-05|Castro|30.215.698/0001-23|Estação Nogueira, 61|Porto da Mata|MT|1|unleash mission-critical action-items|3|40.23
58|2011-10-05|Castro|30.215.698/0001-23|Estação Nogueira, 61|Porto da Mata|MT|2|maximize vertical networks|7|82.88
58|2011-10-05|Castro|30.215.698/0001-23|Estação Nogueira, 61|Porto da Mata|MT|3|redefine proactive applications|2|25.57
58|2011-10-05|Castro|30.215.698/0001-23|Estação Nogueira, 61|Porto da Mata|MT|4|innovate B2B networks|9|24.98
59|1999-09-01|Melo|04.573.216/0001-05|Rua Juliana Martins, 14|Moreira|SP|1|re-contextualize cutting-edge content|10|36.31
60|1971-10-23|Silveira Nogueira S.A.|89.374.061/0001-22|Lagoa Raul Cardoso|Porto|ES|1|deploy enterprise markets|2|62.18
60|1971-10-23|Silveira Nogueira S.A.|89.374.061/0001-22|Lagoa Raul Cardoso|Porto|ES|2|leverage web-enabled interfaces|10|13.83
61|1990-01-01|Sales Dias S.A.|07.658.431/0001-99|Vereda Campos, 66|das Neves|SP|1|matrix B2C infrastructures|4|57.83
62|1973-02-14|Lopes|64.710.592/0001-18|Lagoa de Monteiro, 60|Ferreira|RR|1|synthesize ubiquitous interfaces|8|55.63
62|1973-02-14|Lopes|64.710.592/0001-18|Lagoa de Monteiro, 60|Ferreira|RR|2|empower innovative platforms|4|98.93
62|1973-02-14|Lopes|64.710.592/0001-18|Lagoa de Monteiro, 60|Ferreira|RR|3|re-intermediate viral e-markets|3|56.27
62|1973-02-14|Lopes|64.710.592/0001-18|Lagoa de Monteiro, 60|Ferreira|RR|4|aggregate best-of-breed mindshare|3|48.16
62|1973-02-14|Lopes|64.710.592/0001-18|Lagoa de Monteiro, 60|Ferreira|RR|5|strategize innovative convergence|9|98.05
63|1972-08-26|Novaes Lima - EI|07.581.394/0001-68|Parque Cauã Santos, 8|Carvalho|DF|1|brand cross-platform channels|5|74.48
63|1972-08-26|Novaes Lima - EI|07.581.394/0001-68|Parque Cauã Santos, 8|Carvalho|DF|2|syndicate user-centric schemas|5|19.6
64|1998-06-20|Rodrigues Jesus - EI|21.374.560/0001-86|Passarela Ana Beatriz Rezende, 6|Lima|SC|1|orchestrate bleeding-edge initiatives|3|93.77
64|1998-06-20|Rodrigues Jesus - EI|21.374.560/0001-86|Passarela Ana Beatriz Rezende, 6|Lima|SC|2|engineer impactful niches|2|77.31
64|1998-06-20|Rodrigues Jesus - EI|21.374.560/0001-86|Passarela Ana Beatriz Rezende, 6|Lima|SC|3|facilitate 24/365 info-mediaries|4|64.85
64|1998-06-20|Rodrigues Jesus - EI|21.374.560/0001-86|Passarela Ana Beatriz Rezende, 6|Lima|SC|4|repurpose web-enabled e-commerce|10|42.3
65|1973-04-19|Rezende - ME|63.251.749/0001-21|Conjunto Oliveira|da Mota Verde|AC|1|engage customized deliverables|9|35.5
65|1973-04-19|Rezende - ME|63.251.749/0001-21|Conjunto Oliveira|da Mota Verde|AC|2|seize sticky partnerships|4|16.27
65|1973-04-19|Rezende - ME|63.251.749/0001-21|Conjunto Oliveira|da Mota Verde|AC|3|transition vertical niches|10|82.58
65|1973-04-19|Rezende - ME|63.251.749/0001-21|Conjunto Oliveira|da Mota Verde|AC|4|whiteboard granular metrics|4|45.47
65|1973-04-19|Rezende - ME|63.251.749/0001-21|Conjunto Oliveira|da Mota Verde|AC|5|facilitate open-source eyeballs|8|25.61
66|2010-10-27|Monteiro|89.620.315/0001-45|Loteamento Porto, 88|Monteiro das Pedras|GO|1|redefine scalable systems|5|84.08
66|2010-10-27|Monteiro|89.620.315/0001-45|Loteamento Porto, 88|Monteiro das Pedras|GO|2|transform bricks-and-clicks portals|4|47.05
67|1984-06-03|Ribeiro|20.457.361/0001-79|Jardim Lívia Teixeira|Costa|AP|1|transform interactive e-business|2|65.42
67|1984-06-03|Ribeiro|20.457.361/0001-79|Jardim Lívia Teixeira|Costa|AP|2|leverage killer communities|9|21.04
